###	Overall-Options.html#index-_0023_0023_0023
-march	LoongArch-Options.html#index--march
fabi-version	C_002b_002b-Dialect-Options.html#index-fabi-version
faccess-control	C_002b_002b-Dialect-Options.html#index-faccess-control
fada-spec-parent	Overall-Options.html#index-fada-spec-parent
faggressive-loop-optimizations	Optimize-Options.html#index-faggressive-loop-optimizations
falign-functions	Optimize-Options.html#index-falign-functions
falign-jumps	Optimize-Options.html#index-falign-jumps
falign-labels	Optimize-Options.html#index-falign-labels
falign-loops	Optimize-Options.html#index-falign-loops
faligned-new	C_002b_002b-Dialect-Options.html#index-faligned-new
fallow-parameterless-variadic-functions	C-Dialect-Options.html#index-fallow-parameterless-variadic-functions
fallow-store-data-races	Optimize-Options.html#index-fallow-store-data-races
fanalyzer	Static-Analyzer-Options.html#index-fanalyzer
fanalyzer-call-summaries	Static-Analyzer-Options.html#index-fanalyzer-call-summaries
fanalyzer-checker	Static-Analyzer-Options.html#index-fanalyzer-checker
fanalyzer-feasibility	Static-Analyzer-Options.html#index-fanalyzer-feasibility
fanalyzer-fine-grained	Static-Analyzer-Options.html#index-fanalyzer-fine-grained
fanalyzer-show-duplicate-count	Static-Analyzer-Options.html#index-fanalyzer-show-duplicate-count
fanalyzer-state-merge	Static-Analyzer-Options.html#index-fanalyzer-state-merge
fanalyzer-state-purge	Static-Analyzer-Options.html#index-fanalyzer-state-purge
fanalyzer-transitivity	Static-Analyzer-Options.html#index-fanalyzer-transitivity
fasan-shadow-offset	Instrumentation-Options.html#index-fasan-shadow-offset
fasm	C-Dialect-Options.html#index-fasm
fassociative-math	Optimize-Options.html#index-fassociative-math
fasynchronous-unwind-tables	Code-Gen-Options.html#index-fasynchronous-unwind-tables
fauto-inc-dec	Optimize-Options.html#index-fauto-inc-dec
fauto-profile	Optimize-Options.html#index-fauto-profile
fbit-tests	Code-Gen-Options.html#index-fbit-tests
fbranch-count-reg	Optimize-Options.html#index-fbranch-count-reg
fbranch-probabilities	Optimize-Options.html#index-fbranch-probabilities
fbuiltin	C-Dialect-Options.html#index-fbuiltin
fcall-saved	Code-Gen-Options.html#index-fcall-saved
fcall-used	Code-Gen-Options.html#index-fcall-used
fcaller-saves	Optimize-Options.html#index-fcaller-saves
fcallgraph-info	Developer-Options.html#index-fcallgraph-info
fcf-protection	Instrumentation-Options.html#index-fcf-protection
fchar8_t	C_002b_002b-Dialect-Options.html#index-fchar8_005ft
fcheck-new	C_002b_002b-Dialect-Options.html#index-fcheck-new
fchecking	Developer-Options.html#index-fchecking
fcode-hoisting	Optimize-Options.html#index-fcode-hoisting
fcombine-stack-adjustments	Optimize-Options.html#index-fcombine-stack-adjustments
fcommon	Code-Gen-Options.html#index-fcommon
fcommon	Common-Variable-Attributes.html#index-fcommon-1
fcompare-debug	Developer-Options.html#index-fcompare-debug
fcompare-debug-second	Developer-Options.html#index-fcompare-debug-second
fcompare-elim	Optimize-Options.html#index-fcompare-elim
fconcepts	C_002b_002b-Dialect-Options.html#index-fconcepts
fconcepts-ts	C_002b_002b-Dialect-Options.html#index-fconcepts-ts
fcond-mismatch	C-Dialect-Options.html#index-fcond-mismatch
fconserve-stack	Optimize-Options.html#index-fconserve-stack
fconstant-string-class	Objective-C-and-Objective-C_002b_002b-Dialect-Options.html#index-fconstant-string-class
fconstexpr-cache-depth	C_002b_002b-Dialect-Options.html#index-fconstexpr-cache-depth
fconstexpr-depth	C_002b_002b-Dialect-Options.html#index-fconstexpr-depth
fconstexpr-fp-except	C_002b_002b-Dialect-Options.html#index-fconstexpr-fp-except
fconstexpr-loop-limit	C_002b_002b-Dialect-Options.html#index-fconstexpr-loop-limit
fconstexpr-ops-limit	C_002b_002b-Dialect-Options.html#index-fconstexpr-ops-limit
fcoroutines	C_002b_002b-Dialect-Options.html#index-fcoroutines
fcprop-registers	Optimize-Options.html#index-fcprop-registers
fcrossjumping	Optimize-Options.html#index-fcrossjumping
fcse-follow-jumps	Optimize-Options.html#index-fcse-follow-jumps
fcse-skip-blocks	Optimize-Options.html#index-fcse-skip-blocks
fcx-fortran-rules	Optimize-Options.html#index-fcx-fortran-rules
fcx-limited-range	Optimize-Options.html#index-fcx-limited-range
fdata-sections	Optimize-Options.html#index-fdata-sections
fdbg-cnt	Developer-Options.html#index-fdbg-cnt
fdbg-cnt-list	Developer-Options.html#index-fdbg-cnt-list
fdce	Optimize-Options.html#index-fdce
fdebug-cpp	Preprocessor-Options.html#index-fdebug-cpp
fdebug-prefix-map	Debugging-Options.html#index-fdebug-prefix-map
fdebug-types-section	Debugging-Options.html#index-fdebug-types-section
fdeclone-ctor-dtor	Optimize-Options.html#index-fdeclone-ctor-dtor
fdefer-pop	Optimize-Options.html#index-fdefer-pop
fdelayed-branch	Optimize-Options.html#index-fdelayed-branch
fdelete-dead-exceptions	Code-Gen-Options.html#index-fdelete-dead-exceptions
fdelete-null-pointer-checks	Optimize-Options.html#index-fdelete-null-pointer-checks
fdevirtualize	Optimize-Options.html#index-fdevirtualize
fdevirtualize-at-ltrans	Optimize-Options.html#index-fdevirtualize-at-ltrans
fdevirtualize-speculatively	Optimize-Options.html#index-fdevirtualize-speculatively
fdiagnostics-color	Diagnostic-Message-Formatting-Options.html#index-fdiagnostics-color
fdiagnostics-column-origin	Diagnostic-Message-Formatting-Options.html#index-fdiagnostics-column-origin
fdiagnostics-column-unit	Diagnostic-Message-Formatting-Options.html#index-fdiagnostics-column-unit
fdiagnostics-escape-format	Diagnostic-Message-Formatting-Options.html#index-fdiagnostics-escape-format
fdiagnostics-format	Diagnostic-Message-Formatting-Options.html#index-fdiagnostics-format
fdiagnostics-generate-patch	Diagnostic-Message-Formatting-Options.html#index-fdiagnostics-generate-patch
fdiagnostics-minimum-margin-width	Diagnostic-Message-Formatting-Options.html#index-fdiagnostics-minimum-margin-width
fdiagnostics-parseable-fixits	Diagnostic-Message-Formatting-Options.html#index-fdiagnostics-parseable-fixits
fdiagnostics-path-format	Diagnostic-Message-Formatting-Options.html#index-fdiagnostics-path-format
fdiagnostics-show-caret	Diagnostic-Message-Formatting-Options.html#index-fdiagnostics-show-caret
fdiagnostics-show-cwe	Diagnostic-Message-Formatting-Options.html#index-fdiagnostics-show-cwe
fdiagnostics-show-labels	Diagnostic-Message-Formatting-Options.html#index-fdiagnostics-show-labels
fdiagnostics-show-line-numbers	Diagnostic-Message-Formatting-Options.html#index-fdiagnostics-show-line-numbers
fdiagnostics-show-location	Diagnostic-Message-Formatting-Options.html#index-fdiagnostics-show-location
fdiagnostics-show-option	Diagnostic-Message-Formatting-Options.html#index-fdiagnostics-show-option
fdiagnostics-show-path-depths	Diagnostic-Message-Formatting-Options.html#index-fdiagnostics-show-path-depths
fdiagnostics-show-template-tree	Diagnostic-Message-Formatting-Options.html#index-fdiagnostics-show-template-tree
fdiagnostics-urls	Diagnostic-Message-Formatting-Options.html#index-fdiagnostics-urls
fdirectives-only	Preprocessor-Options.html#index-fdirectives-only
fdisable-	Developer-Options.html#index-fdisable-
fdollars-in-identifiers	Preprocessor-Options.html#index-fdollars-in-identifiers
fdollars-in-identifiers	Interoperation.html#index-fdollars-in-identifiers-1
fdpic	SH-Options.html#index-fdpic
fdse	Optimize-Options.html#index-fdse
fdump-ada-spec	Overall-Options.html#index-fdump-ada-spec
fdump-analyzer	Static-Analyzer-Options.html#index-fdump-analyzer
fdump-analyzer-callgraph	Static-Analyzer-Options.html#index-fdump-analyzer-callgraph
fdump-analyzer-exploded-graph	Static-Analyzer-Options.html#index-fdump-analyzer-exploded-graph
fdump-analyzer-exploded-paths	Static-Analyzer-Options.html#index-fdump-analyzer-exploded-paths
fdump-analyzer-json	Static-Analyzer-Options.html#index-fdump-analyzer-json
fdump-analyzer-state-purge	Static-Analyzer-Options.html#index-fdump-analyzer-state-purge
fdump-analyzer-stderr	Static-Analyzer-Options.html#index-fdump-analyzer-stderr
fdump-analyzer-supergraph	Static-Analyzer-Options.html#index-fdump-analyzer-supergraph
fdump-analyzer-untracked	Static-Analyzer-Options.html#index-fdump-analyzer-untracked
fdump-debug	Developer-Options.html#index-fdump-debug
fdump-earlydebug	Developer-Options.html#index-fdump-earlydebug
fdump-final-insns	Developer-Options.html#index-fdump-final-insns
fdump-go-spec	Overall-Options.html#index-fdump-go-spec
fdump-ipa	Developer-Options.html#index-fdump-ipa
fdump-lang	Developer-Options.html#index-fdump-lang
fdump-lang	Developer-Options.html#index-fdump-lang-1
fdump-lang-all	Developer-Options.html#index-fdump-lang-all
fdump-noaddr	Developer-Options.html#index-fdump-noaddr
fdump-passes	Developer-Options.html#index-fdump-passes
fdump-rtl-alignments	Developer-Options.html#index-fdump-rtl-alignments
fdump-rtl-all	Developer-Options.html#index-fdump-rtl-all
fdump-rtl-asmcons	Developer-Options.html#index-fdump-rtl-asmcons
fdump-rtl-auto_inc_dec	Developer-Options.html#index-fdump-rtl-auto_005finc_005fdec
fdump-rtl-barriers	Developer-Options.html#index-fdump-rtl-barriers
fdump-rtl-bbpart	Developer-Options.html#index-fdump-rtl-bbpart
fdump-rtl-bbro	Developer-Options.html#index-fdump-rtl-bbro
fdump-rtl-btl2	Developer-Options.html#index-fdump-rtl-btl2
fdump-rtl-btl2	Developer-Options.html#index-fdump-rtl-btl2-1
fdump-rtl-bypass	Developer-Options.html#index-fdump-rtl-bypass
fdump-rtl-ce1	Developer-Options.html#index-fdump-rtl-ce1
fdump-rtl-ce2	Developer-Options.html#index-fdump-rtl-ce2
fdump-rtl-ce3	Developer-Options.html#index-fdump-rtl-ce3
fdump-rtl-combine	Developer-Options.html#index-fdump-rtl-combine
fdump-rtl-compgotos	Developer-Options.html#index-fdump-rtl-compgotos
fdump-rtl-cprop_hardreg	Developer-Options.html#index-fdump-rtl-cprop_005fhardreg
fdump-rtl-csa	Developer-Options.html#index-fdump-rtl-csa
fdump-rtl-cse1	Developer-Options.html#index-fdump-rtl-cse1
fdump-rtl-cse2	Developer-Options.html#index-fdump-rtl-cse2
fdump-rtl-dbr	Developer-Options.html#index-fdump-rtl-dbr
fdump-rtl-dce	Developer-Options.html#index-fdump-rtl-dce
fdump-rtl-dce1	Developer-Options.html#index-fdump-rtl-dce1
fdump-rtl-dce2	Developer-Options.html#index-fdump-rtl-dce2
fdump-rtl-dfinish	Developer-Options.html#index-fdump-rtl-dfinish
fdump-rtl-dfinit	Developer-Options.html#index-fdump-rtl-dfinit
fdump-rtl-eh	Developer-Options.html#index-fdump-rtl-eh
fdump-rtl-eh_ranges	Developer-Options.html#index-fdump-rtl-eh_005franges
fdump-rtl-expand	Developer-Options.html#index-fdump-rtl-expand
fdump-rtl-fwprop1	Developer-Options.html#index-fdump-rtl-fwprop1
fdump-rtl-fwprop2	Developer-Options.html#index-fdump-rtl-fwprop2
fdump-rtl-gcse1	Developer-Options.html#index-fdump-rtl-gcse1
fdump-rtl-gcse2	Developer-Options.html#index-fdump-rtl-gcse2
fdump-rtl-init-regs	Developer-Options.html#index-fdump-rtl-init-regs
fdump-rtl-initvals	Developer-Options.html#index-fdump-rtl-initvals
fdump-rtl-into_cfglayout	Developer-Options.html#index-fdump-rtl-into_005fcfglayout
fdump-rtl-ira	Developer-Options.html#index-fdump-rtl-ira
fdump-rtl-jump	Developer-Options.html#index-fdump-rtl-jump
fdump-rtl-loop2	Developer-Options.html#index-fdump-rtl-loop2
fdump-rtl-mach	Developer-Options.html#index-fdump-rtl-mach
fdump-rtl-mode_sw	Developer-Options.html#index-fdump-rtl-mode_005fsw
fdump-rtl-outof_cfglayout	Developer-Options.html#index-fdump-rtl-outof_005fcfglayout
fdump-rtl-<var>pass</var>	Developer-Options.html#index-fdump-rtl-pass
fdump-rtl-peephole2	Developer-Options.html#index-fdump-rtl-peephole2
fdump-rtl-postreload	Developer-Options.html#index-fdump-rtl-postreload
fdump-rtl-pro_and_epilogue	Developer-Options.html#index-fdump-rtl-pro_005fand_005fepilogue
fdump-rtl-ree	Developer-Options.html#index-fdump-rtl-ree
fdump-rtl-regclass	Developer-Options.html#index-fdump-rtl-regclass
fdump-rtl-rnreg	Developer-Options.html#index-fdump-rtl-rnreg
fdump-rtl-sched1	Developer-Options.html#index-fdump-rtl-sched1
fdump-rtl-sched2	Developer-Options.html#index-fdump-rtl-sched2
fdump-rtl-seqabstr	Developer-Options.html#index-fdump-rtl-seqabstr
fdump-rtl-shorten	Developer-Options.html#index-fdump-rtl-shorten
fdump-rtl-sibling	Developer-Options.html#index-fdump-rtl-sibling
fdump-rtl-sms	Developer-Options.html#index-fdump-rtl-sms
fdump-rtl-split1	Developer-Options.html#index-fdump-rtl-split1
fdump-rtl-split2	Developer-Options.html#index-fdump-rtl-split2
fdump-rtl-split3	Developer-Options.html#index-fdump-rtl-split3
fdump-rtl-split4	Developer-Options.html#index-fdump-rtl-split4
fdump-rtl-split5	Developer-Options.html#index-fdump-rtl-split5
fdump-rtl-stack	Developer-Options.html#index-fdump-rtl-stack
fdump-rtl-subreg1	Developer-Options.html#index-fdump-rtl-subreg1
fdump-rtl-subreg2	Developer-Options.html#index-fdump-rtl-subreg2
fdump-rtl-subregs_of_mode_finish	Developer-Options.html#index-fdump-rtl-subregs_005fof_005fmode_005ffinish
fdump-rtl-subregs_of_mode_init	Developer-Options.html#index-fdump-rtl-subregs_005fof_005fmode_005finit
fdump-rtl-unshare	Developer-Options.html#index-fdump-rtl-unshare
fdump-rtl-vartrack	Developer-Options.html#index-fdump-rtl-vartrack
fdump-rtl-vregs	Developer-Options.html#index-fdump-rtl-vregs
fdump-rtl-web	Developer-Options.html#index-fdump-rtl-web
fdump-statistics	Developer-Options.html#index-fdump-statistics
fdump-tree	Developer-Options.html#index-fdump-tree
fdump-tree-all	Developer-Options.html#index-fdump-tree-all
fdump-unnumbered	Developer-Options.html#index-fdump-unnumbered
fdump-unnumbered-links	Developer-Options.html#index-fdump-unnumbered-links
fdwarf2-cfi-asm	Debugging-Options.html#index-fdwarf2-cfi-asm
fearly-inlining	Optimize-Options.html#index-fearly-inlining
felide-constructors	C_002b_002b-Dialect-Options.html#index-felide-constructors
felide-type	Diagnostic-Message-Formatting-Options.html#index-felide-type
feliminate-unused-debug-symbols	Debugging-Options.html#index-feliminate-unused-debug-symbols
feliminate-unused-debug-types	Debugging-Options.html#index-feliminate-unused-debug-types
femit-class-debug-always	Debugging-Options.html#index-femit-class-debug-always
femit-struct-debug-baseonly	Debugging-Options.html#index-femit-struct-debug-baseonly
femit-struct-debug-detailed	Debugging-Options.html#index-femit-struct-debug-detailed
femit-struct-debug-reduced	Debugging-Options.html#index-femit-struct-debug-reduced
fenable-	Developer-Options.html#index-fenable-
fenforce-eh-specs	C_002b_002b-Dialect-Options.html#index-fenforce-eh-specs
fexceptions	Code-Gen-Options.html#index-fexceptions
fexcess-precision	Optimize-Options.html#index-fexcess-precision
fexec-charset	Preprocessor-Options.html#index-fexec-charset
fexpensive-optimizations	Optimize-Options.html#index-fexpensive-optimizations
fext-numeric-literals	C_002b_002b-Dialect-Options.html#index-fext-numeric-literals
fextended-identifiers	Preprocessor-Options.html#index-fextended-identifiers
fextern-tls-init	C_002b_002b-Dialect-Options.html#index-fextern-tls-init
ffast-math	Optimize-Options.html#index-ffast-math
ffat-lto-objects	Optimize-Options.html#index-ffat-lto-objects
ffile-prefix-map	Overall-Options.html#index-ffile-prefix-map
ffinite-loops	Optimize-Options.html#index-ffinite-loops
ffinite-math-only	Optimize-Options.html#index-ffinite-math-only
ffix-and-continue	Darwin-Options.html#index-ffix-and-continue
ffixed	Code-Gen-Options.html#index-ffixed
ffloat-store	Optimize-Options.html#index-ffloat-store
ffloat-store	Disappointments.html#index-ffloat-store-1
ffold-simple-inlines	C_002b_002b-Dialect-Options.html#index-ffold-simple-inlines
fforward-propagate	Optimize-Options.html#index-fforward-propagate
ffp-contract	Optimize-Options.html#index-ffp-contract
ffp-int-builtin-inexact	Optimize-Options.html#index-ffp-int-builtin-inexact
ffreestanding	Standards.html#index-ffreestanding
ffreestanding	C-Dialect-Options.html#index-ffreestanding-1
ffreestanding	Warning-Options.html#index-ffreestanding-2
ffreestanding	Common-Function-Attributes.html#index-ffreestanding-3
ffunction-cse	Optimize-Options.html#index-ffunction-cse
ffunction-sections	Optimize-Options.html#index-ffunction-sections
fgcse	Optimize-Options.html#index-fgcse
fgcse-after-reload	Optimize-Options.html#index-fgcse-after-reload
fgcse-las	Optimize-Options.html#index-fgcse-las
fgcse-lm	Optimize-Options.html#index-fgcse-lm
fgcse-sm	Optimize-Options.html#index-fgcse-sm
fgimple	C-Dialect-Options.html#index-fgimple
fgnu-keywords	C_002b_002b-Dialect-Options.html#index-fgnu-keywords
fgnu-runtime	Objective-C-and-Objective-C_002b_002b-Dialect-Options.html#index-fgnu-runtime
fgnu-tm	C-Dialect-Options.html#index-fgnu-tm
fgnu-unique	Code-Gen-Options.html#index-fgnu-unique
fgnu89-inline	C-Dialect-Options.html#index-fgnu89-inline
fgraphite-identity	Optimize-Options.html#index-fgraphite-identity
fguess-branch-probability	Optimize-Options.html#index-fguess-branch-probability
fharden-compares	Instrumentation-Options.html#index-fharden-compares
fharden-conditional-branches	Instrumentation-Options.html#index-fharden-conditional-branches
fhoist-adjacent-loads	Optimize-Options.html#index-fhoist-adjacent-loads
fhosted	C-Dialect-Options.html#index-fhosted
fident	Code-Gen-Options.html#index-fident
fif-conversion	Optimize-Options.html#index-fif-conversion
fif-conversion2	Optimize-Options.html#index-fif-conversion2
fiji	AMD-GCN-Options.html#index-fiji
filelist	Darwin-Options.html#index-filelist
fimplement-inlines	C_002b_002b-Dialect-Options.html#index-fimplement-inlines
fimplicit-constexpr	C_002b_002b-Dialect-Options.html#index-fimplicit-constexpr
fimplicit-inline-templates	C_002b_002b-Dialect-Options.html#index-fimplicit-inline-templates
fimplicit-templates	C_002b_002b-Dialect-Options.html#index-fimplicit-templates
findirect-data	Darwin-Options.html#index-findirect-data
findirect-inlining	Optimize-Options.html#index-findirect-inlining
finhibit-size-directive	Code-Gen-Options.html#index-finhibit-size-directive
finline	Optimize-Options.html#index-finline
finline-functions	Optimize-Options.html#index-finline-functions
finline-functions-called-once	Optimize-Options.html#index-finline-functions-called-once
finline-limit	Optimize-Options.html#index-finline-limit
finline-small-functions	Optimize-Options.html#index-finline-small-functions
finput-charset	Preprocessor-Options.html#index-finput-charset
finstrument-functions	Instrumentation-Options.html#index-finstrument-functions
finstrument-functions	Common-Function-Attributes.html#index-finstrument-functions-1
finstrument-functions-exclude-file-list	Instrumentation-Options.html#index-finstrument-functions-exclude-file-list
finstrument-functions-exclude-function-list	Instrumentation-Options.html#index-finstrument-functions-exclude-function-list
fipa-bit-cp	Optimize-Options.html#index-fipa-bit-cp
fipa-cp	Optimize-Options.html#index-fipa-cp
fipa-cp-clone	Optimize-Options.html#index-fipa-cp-clone
fipa-icf	Optimize-Options.html#index-fipa-icf
fipa-modref	Optimize-Options.html#index-fipa-modref
fipa-profile	Optimize-Options.html#index-fipa-profile
fipa-pta	Optimize-Options.html#index-fipa-pta
fipa-pure-const	Optimize-Options.html#index-fipa-pure-const
fipa-ra	Optimize-Options.html#index-fipa-ra
fipa-reference	Optimize-Options.html#index-fipa-reference
fipa-reference-addressable	Optimize-Options.html#index-fipa-reference-addressable
fipa-sra	Optimize-Options.html#index-fipa-sra
fipa-stack-alignment	Optimize-Options.html#index-fipa-stack-alignment
fipa-strict-aliasing	Optimize-Options.html#index-fipa-strict-aliasing
fipa-vrp	Optimize-Options.html#index-fipa-vrp
fira-algorithm	Optimize-Options.html#index-fira-algorithm
fira-hoist-pressure	Optimize-Options.html#index-fira-hoist-pressure
fira-loop-pressure	Optimize-Options.html#index-fira-loop-pressure
fira-region	Optimize-Options.html#index-fira-region
fira-share-save-slots	Optimize-Options.html#index-fira-share-save-slots
fira-share-spill-slots	Optimize-Options.html#index-fira-share-spill-slots
fira-verbose	Developer-Options.html#index-fira-verbose
fisolate-erroneous-paths-attribute	Optimize-Options.html#index-fisolate-erroneous-paths-attribute
fisolate-erroneous-paths-dereference	Optimize-Options.html#index-fisolate-erroneous-paths-dereference
fivar-visibility	Objective-C-and-Objective-C_002b_002b-Dialect-Options.html#index-fivar-visibility
fivopts	Optimize-Options.html#index-fivopts
fjump-tables	Code-Gen-Options.html#index-fjump-tables
fkeep-inline-dllexport	Optimize-Options.html#index-fkeep-inline-dllexport
fkeep-inline-functions	Optimize-Options.html#index-fkeep-inline-functions
fkeep-inline-functions	Inline.html#index-fkeep-inline-functions-1
fkeep-static-consts	Optimize-Options.html#index-fkeep-static-consts
fkeep-static-functions	Optimize-Options.html#index-fkeep-static-functions
flang-info-include-translate	C_002b_002b-Dialect-Options.html#index-flang-info-include-translate
flang-info-include-translate-not	C_002b_002b-Dialect-Options.html#index-flang-info-include-translate-not
flang-info-module-cmi	C_002b_002b-Dialect-Options.html#index-flang-info-module-cmi
flarge-source-files	Preprocessor-Options.html#index-flarge-source-files
flat_namespace	Darwin-Options.html#index-flat_005fnamespace
flax-vector-conversions	C-Dialect-Options.html#index-flax-vector-conversions
fleading-underscore	Code-Gen-Options.html#index-fleading-underscore
flifetime-dse	Optimize-Options.html#index-flifetime-dse
flinker-output	Link-Options.html#index-flinker-output
flive-patching	Optimize-Options.html#index-flive-patching
flive-range-shrinkage	Optimize-Options.html#index-flive-range-shrinkage
flocal-ivars	Objective-C-and-Objective-C_002b_002b-Dialect-Options.html#index-flocal-ivars
floop-block	Optimize-Options.html#index-floop-block
floop-interchange	Optimize-Options.html#index-floop-interchange
floop-nest-optimize	Optimize-Options.html#index-floop-nest-optimize
floop-parallelize-all	Optimize-Options.html#index-floop-parallelize-all
floop-strip-mine	Optimize-Options.html#index-floop-strip-mine
floop-unroll-and-jam	Optimize-Options.html#index-floop-unroll-and-jam
flra-remat	Optimize-Options.html#index-flra-remat
flto	Optimize-Options.html#index-flto
flto-compression-level	Optimize-Options.html#index-flto-compression-level
flto-partition	Optimize-Options.html#index-flto-partition
flto-report	Developer-Options.html#index-flto-report
flto-report-wpa	Developer-Options.html#index-flto-report-wpa
fmacro-prefix-map	Preprocessor-Options.html#index-fmacro-prefix-map
fmath-errno	Optimize-Options.html#index-fmath-errno
fmax-errors	Warning-Options.html#index-fmax-errors
fmax-include-depth	Preprocessor-Options.html#index-fmax-include-depth
fmem-report	Developer-Options.html#index-fmem-report
fmem-report-wpa	Developer-Options.html#index-fmem-report-wpa
fmerge-all-constants	Optimize-Options.html#index-fmerge-all-constants
fmerge-constants	Optimize-Options.html#index-fmerge-constants
fmerge-debug-strings	Debugging-Options.html#index-fmerge-debug-strings
fmessage-length	Diagnostic-Message-Formatting-Options.html#index-fmessage-length
fmodule-header	C_002b_002b-Dialect-Options.html#index-fmodule-header
fmodule-implicit-inline	C_002b_002b-Dialect-Options.html#index-fmodule-implicit-inline
fmodule-lazy	C_002b_002b-Dialect-Options.html#index-fmodule-lazy
fmodule-mapper	C_002b_002b-Dialect-Options.html#index-fmodule-mapper
fmodule-only	C_002b_002b-Dialect-Options.html#index-fmodule-only
fmodules-ts	C_002b_002b-Dialect-Options.html#index-fmodules-ts
fmodulo-sched	Optimize-Options.html#index-fmodulo-sched
fmodulo-sched-allow-regmoves	Optimize-Options.html#index-fmodulo-sched-allow-regmoves
fmove-loop-invariants	Optimize-Options.html#index-fmove-loop-invariants
fmove-loop-stores	Optimize-Options.html#index-fmove-loop-stores
fms-extensions	C-Dialect-Options.html#index-fms-extensions
fms-extensions	C_002b_002b-Dialect-Options.html#index-fms-extensions-1
fms-extensions	Unnamed-Fields.html#index-fms-extensions-2
fnew-inheriting-ctors	C_002b_002b-Dialect-Options.html#index-fnew-inheriting-ctors
fnew-ttp-matching	C_002b_002b-Dialect-Options.html#index-fnew-ttp-matching
